no,judul,deskripsi,asal_daerah,link,gambar
1,Aesan gede,"Aesan gede adalah salah satu Busana tradisional Melayu Palembang, berasal dari Sumatra Selatan. Aesan berarti perhiasan, sementara gede bermakna nenek atau leluhur. Penamaan aesan gede berkaitan dengan julukan Sumatra sebagai Suwarna-dwipa (terj. har. 'pulau emas'). Indikasinya terlihat dari beberapa kelengkapan yang dikenakan, yaitu berupa perhiasan bercitrakan keemasan. Pakaian ini termasuk salah satu jenis kain songket yang dahulu sering dipergunakan para kaum bangsawan. Pakaian ini dikenakan pada upacara adat pernikahan karena melambangkan kebesaran orang yang mengenakannya. Aesan gede dipakai pada acara munggah, yaitu salah satu puncak upacara adat pernikahan yang harus dijalankan oleh kedua mempelai. Unsur Hindu Budha sendiri terkandung pada pakaian adat aesan gede. Aesan gede berasal dari Kerajaan Sriwijaya yang menganut kepercayaan Hindu-Buddha. Hal ini terbukti bahwa Bukit Siguntang di kawasan Bukit Kecil merupakan tempat pemujaan atau tempat beribadah umat Hindu-Buddha pada saat itu.",Sumatera Selatan,https://id.wikipedia.org/wiki/Aesan_gede,https://upload.wikimedia.org/wikipedia/commons/5/5c/Aesan_Gede_Songket_Palembang.jpg
2,Air Guci,"Air Guci atau Airguci atau Arguci merupakan salah satu kerajinan tangan bahari (tua/lama) berupa kain khas Banua Banjar yang telah popular sejak ratusan tahun silam. Pada zaman dahulu kain Airguci hanya boleh dipakai oleh penguasa Kerajaan Banjar saja. Hal ini karena Air Guci tak hanya sekadar kain biasa, melainkan simbol kain kehormatan Kesultanan Banjar. Seiring perkembangan zaman serta upaya pelestariannya oleh masyarakat Banjar membuat Kesakralan kain Air Guci kini kian luntur.",Kalimantan Selatan,https://id.wikipedia.org/wiki/Air_Guci,https://upload.wikimedia.org/wikipedia/id/9/96/Busana_Remaja_Suku_Banjar.JPG
3,Atela dan beskap,"Beskap atau Atela adalah sejenis kemeja pria resmi dalam tradisi adat Jawa untuk dikenakan pada acara-acara resmi atau penting. Busana atasan ini diperkenalkan pada akhir abad ke-18 oleh kalangan kerajaan-kerajaan di wilayah Jawa tetapi kemudian menyebar ke berbagai wilayah pengaruh budayanya. Beskap berbentuk kemeja tebal, tidak berkerah lipat, biasanya berwarna gelap, tetapi hampir selalu polos. Bagian depan berbentuk tidak simetris, dengan pola kancing menyamping (tidak tegak lurus). Tergantung jenisnya terdapat perbedaan potongan pada bagian belakang, untuk mengantisipasi keberadaan keris. Beskap selalu dikombinasi dengan jarik (kain panjang yang dibebatkan untuk menutup kaki.",Indonesia,https://id.wikipedia.org/wiki/Atela_dan_beskap,
4,Baji (pakaian),"Baji (바지) adalah jenis celana tradisional Korea, bagian dari hanbok. Baji berbentuk menggelembung sehingga harus diikatkan ke pinggang dengan kain pengikat. Selain longgar, pada pergelangan kaki, baji akan melebihi batas, sehingga diikatkan dengan menggunakan pengikat yang dinamakan daenim.",Indonesia,https://id.wikipedia.org/wiki/Baji_(pakaian),https://upload.wikimedia.org/wikipedia/commons/d/dd/Korea-Seoul_0589-06_traditional_dress.JPG
5,Baju,"Baju adalah istilah untuk pakaian yang digunakan untuk menutupi badan, terutama badan bagian atas. Bagian yang ditutupi dapat bermacam-macam tergantung jenis bajunya. Meskipun istilah baju umumnya digunakan pada pakaian yang dikenakan pada badan bagian atas, terutama bagian batang tubuh dan lengan di antara leher dan pinggang, istilah tersebut juga dapat merujuk pada pakaian yang menutupi seluruh badan dari leher hingga kaki yang sering disebut terusan, misalnya gaun. Untuk membedakannya, baju yang khusus untuk menutupi badan bagian atas saja disebut atasan. Baju atasan pria umumnya dipadankan dengan celana, dan baju atasan wanita dengan celana atau rok. Jenis baju yang paling umum adalah kaus dan kemeja.",Indonesia,https://id.wikipedia.org/wiki/Baju,https://upload.wikimedia.org/wikipedia/commons/a/ab/Kemeja_batik_tulis_lukis.jpg
6,Baju Basurat,"Baju Basurat adalah pakaian tradisional yang digunakan oleh masyarakat adat suku Dayak ketika berperang. Baju Basurat atau pakaian berperang suku Dayak ini terbuat dari kulit kayu, kulit binatang, dan dihiasi logam. Baju Basurat juga kerap dilengkapi dengan tulisan-tulisan yang disebut rajah, dengan tujuan untuk menangkal atau melindungi si pemakai ketika berperang atau berkelahi, sehingga ia selamat.",Kalimantan Timur,https://id.wikipedia.org/wiki/Baju_Basurat,https://upload.wikimedia.org/wikipedia/commons/a/a7/Baju_Basurat_Dayak.jpg
7,Baju Cele,"Baju Cele adalah pakaian tradisional yang berasal dari Maluku. Pakaian ini memiliki motif garis-garis geometris atau berkotak-kotak kecil. Pakaian ini biasa dipadupadankan dengan kain salele yang diletakkan pada bahu dan biasa dikenakan pada upacara adat. Warna baju ini adalah warna-warna cerah, tetapi lebih sering didominasi dengan warna merah. Jika ada seorang gadis yang mengenakan pakaian ini maka ia akan disebut sebagai nona baju cele kaeng atau nona kain salele. Adapun jika seorang wanita yang mengenakannya maka ia akan dipanggil dengan sebutan nyonya kain salele. Pada tahun ajaran 2014/2015, pemerintah Wali Kota Ambon, Richard Luohenapessy menerapkan kebijakan berupa pergantian seragam batik dengan baju cele untuk para pelajar di tingkat SMP dan SMA di Kota Ambon. Kebijakan itu berlaku setiap hari Jumat dan Sabtu.",Maluku,https://id.wikipedia.org/wiki/Baju_Cele,
8,Baju Kustim,"Baju Kustim yang berasal dari kata “Kustin,” yang berarti “kebesaran,” adalah salah satu pakaian khas yang ada di Kalimantan Timur. Baju Kustim digunakan oleh pembesar pada masa Kesultanan Kutai Kartanegara pada saat acara-acara formal. Kesultanan ini dikenal sebagai salah satu kerajaan tertua di Indonesia dan dianggap sebagai cikal bakal kota Nusantara. Pada perkembangannya, Kustim selain digunakan sebagai salah satu pakaian kebesaran di Kesultanan Kutai Kartanegara Ing Martadipura, juga dipakai dalam upacara-upacara penting, termasuk upacara Erau, serta sering dipakai bagi mempelai dalam pernikahan Suku Kutai.",Kalimantan Timur,https://id.wikipedia.org/wiki/Baju_Kustim,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kustim.jpg
9,Baju Layang,"Baju Layang adalah salah satu pakaian adat tradisional suku Banjar yang biasa dikenakan oleh perempuan yang baru menginjak remaja. Baju Layang merupakan baju kurung berbahan kain tipis dengan belahan di samping bahu. Pada masa kini, baju Layang dipakai untuk penari Tari Radap Rahayu.",Kalimantan Selatan,https://id.wikipedia.org/wiki/Baju_Layang,https://upload.wikimedia.org/wikipedia/commons/9/92/Tari_Radap_Rahayu.jpg
10,Baju Sangkarut,"Baju Sangkarut atau baju basulau adalah pakaian adat asal Kalimantan Tengah. Baju sangkarut dibuat oleh suku Dayak Ngaju yang bermukim di daerah Sungai Kapuas, Kalimantan Tengah. Penamaan baju sangkarut berasal dari kata ""sangka"" yang berarti pembatas. Nilai filosofinya, baju ini dapat menangkal setiap gangguan para roh halus. Selain itu, baju sangkarut juga dipercaya bisa melindungi pemakainya dari pengaruh orang jahat. Baju sangkarut juga dikenal dengan sebutan “baju basulau” karena biasanya dilapisi dengan sulau atau hiasan dari kerang, yang melambangkan kekuatan dan perlindungan bagi pemakainya. Dalam budaya Dayak Ngaju, kepercayaan terhadap roh dan energi mistis masih kuat, sehingga baju ini diyakini memiliki peran penting dalam menjaga keselamatan penggunanya. Baju sangkarut umumnya dipakai saat berperang. Selain itu, baju sangkarut juga digunakan dalam acara adat perkawinan.",Bangka Belitung,https://id.wikipedia.org/wiki/Baju_Sangkarut,https://upload.wikimedia.org/wikipedia/commons/8/85/Baju_Sangkarut.jpg
